City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,bereket,39.2446,55.5154,5.79,47,0,3.31,TM,1703201251
297,vinhais,41.8351,-7.005,4.66,85,4,2.47,PT,1703201251
298,asau,46.4333,26.4,1.51,74,79,2.93,RO,1703201251
299,muynoq,43.7683,59.0214,0.68,76,4,4.44,UZ,1703201251
300,kostomuksha,64.571,30.5767,-19.42,100,100,0.89,RU,1703201003
301,tulun,54.5611,100.5792,-26.06,95,40,1.67,RU,1703201251
302,fuglafjordur,62.244,-6.814,-0.74,86,98,3.3,FO,1703201251
303,ghadamis,30.1337,9.5007,11.06,46,0,3.17,LY,1703201251
304,chibougamau,49.9168,-74.3659,-13.21,78,100,2.57,CA,1703201251
305,fort st. john,56.2499,-120.8529,2.94,75,75,3.09,CA,1703201100
306,westport,41.1415,-73.3579,1.77,50,0,4.12,US,1703201131
307,tuba city,36.135,-111.2399,10.96,58,43,1.8,US,1703201252
308,queenstown,-31.8976,26.8753,16.5,86,72,2.29,ZA,1703201252
309,bandundu,-3.3167,17.3667,22.66,96,100,0.4,CD,1703201252
310,bantogon,6.5333,124.0333,26.21,77,72,1.52,PH,1703201252
311,pangoa,-12.1167,-73.0,23.21,95,99,0.8,PE,1703201252
312,iwanai,42.9744,140.5089,-4.48,81,100,5.05,JP,1703201252
313,shiyan,32.6475,110.7781,-3.07,46,87,0.85,CN,1703201252
314,hafnarfjordur,64.0671,-21.9377,-3.79,58,75,2.06,IS,1703201252
315,qamdo,31.1667,97.2333,-8.3,39,97,2.2,CN,1703201252
316,constantia,44.1833,28.65,0.39,81,26,4.33,RO,1703201252
317,necochea,-38.5473,-58.7368,17.37,71,0,2.96,AR,1703201253
318,baardheere,2.3446,42.2764,27.04,75,19,4.07,SO,1703201253
319,vernon,50.2581,-119.2691,7.56,85,78,3.58,CA,1703201253
320,puerto deseado,-47.7503,-65.8938,10.72,68,75,5.49,AR,1703201253
321,bushehr,28.9684,50.8385,17.05,63,94,0.0,IR,1703201253
322,vila velha,-20.3297,-40.2925,25.97,89,75,4.12,BR,1703201253
323,agat village,13.3886,144.6585,29.64,78,20,7.72,GU,1703201253
324,fisterra,42.9049,-9.2629,7.64,81,5,6.08,ES,1703201253
325,oriximina,-1.7656,-55.8661,27.47,74,97,1.11,BR,1703201253
326,bac lieu,9.285,105.7244,22.92,76,47,4.12,VN,1703201253
327,sakaiminato,35.55,133.2333,-0.01,74,75,10.29,JP,1703201254
328,aljezur,37.3191,-8.8033,10.0,70,8,3.44,PT,1703201254
329,birni n konni,13.7956,5.2553,21.81,23,18,4.84,NE,1703201254
330,forster,-32.1667,152.5167,23.54,70,100,6.56,AU,1703201254
331,kargopol',61.5071,38.9456,-5.4,94,100,1.77,RU,1703201254
332,urzhar,47.093,81.6294,-7.97,81,41,2.27,KZ,1703201254
333,portrush,55.1959,-6.6493,10.27,84,99,4.92,GB,1703201254
334,mahajanga,-15.7167,46.3167,27.86,77,100,1.53,MG,1703201254
335,sinabang,2.4803,96.3801,26.23,84,89,1.05,ID,1703201254
336,pemba,-12.974,40.5178,27.21,79,56,5.43,MZ,1703201254
337,constitucion,-35.3333,-72.4167,16.46,71,19,6.96,CL,1703201255
338,alofi,-19.0595,-169.9187,27.94,57,75,7.2,NU,1703201255
